20000217 00:00,2023800,2065000,1992500,2062500,14979000
20000218 00:00,2052500,2060000,1968800,1982500,12092400
20000222 00:00,1980000,1998800,1925000,1977000,18573100
20000223 00:00,1993600,2100000,1983100,2084500,15665300
20000224 00:00,2097500,2130000,2040000,2121400,24323400
20000225 00:00,2123800,2150000,2077500,2087500,16356100
20000228 00:00,2065000,2113800,2010000,2073800,19028600
20000229 00:00,2115000,2135000,2098800,2131900,11887000
20000301 00:00,2145000,2171300,2130000,2151300,12171200
20000302 00:00,2161300,2163800,2070000,2117500,15865100
20000303 00:00,2160000,2220000,2140000,2220000,15460700
20000306 00:00,2235000,2264400,2205000,2229800,11745200
20000307 00:00,2276300,2277500,2175000,2195000,19390800
20000308 00:00,2220000,2240000,2125600,2222300,21500300
20000309 00:00,2224400,2335200,2181900,2293800,15018800
20000310 00:00,2297500,2328800,2270200,2292500,14530700
20000313 00:00,2200000,2282500,2190600,2215000,18525700
20000314 00:00,2255000,2267500,2110000,2114400,19050900
20000315 00:00,2130000,2140000,2037500,2060000,25181900
20000316 00:00,2107500,2185000,2020000,2175000,27753800
20000317 00:00,2160000,2219800,2099400,2217300,15175600
20000320 00:00,1110000,1130000,1060800,1068100,20882300
20000321 00:00,1061300,1115000,1035600,1111900,32973700
20000322 00:00,1135000,1159700,1111300,1146400,24162100
20000323 00:00,1144800,1177500,1135600,1165000,18691200
20000324 00:00,1174800,1205000,1150200,1172500,21882800
20000327 00:00,1180000,1195000,1171300,1176900,11821900
20000328 00:00,1169800,1178100,1145300,1149400,18001000
20000329 00:00,1153800,1154400,1100000,1100200,27132300
20000330 00:00,1072500,1127500,1035000,1064400,42153000
20000331 00:00,1081400,1106300,1040000,1099800,31164500
20000403 00:00,1077700,1091300,1007500,1021900,30483400
20000404 00:00,1036300,1060000,883100,1010600,66719600
20000405 00:00,975000,1039400,962500,1001300,36884700
20000406 00:00,1023800,1038800,997500,1018100,29610300
20000407 00:00,1041300,1070000,1026300,1070000,20359300
20000410 00:00,1076300,1076900,1000000,1000000,26572700
20000411 00:00,971300,1015000,951300,975000,34431600
20000412 00:00,976300,987500,905000,907500,34016500
20000413 00:00,928100,965000,883600,888800,46695000
20000414 00:00,860600,885000,780000,802500,59724100
20000417 00:00,780200,880000,780000,876300,55296400
20000418 00:00,894800,926300,873800,925000,36234200
20000419 00:00,925000,942500,891900,896900,27710800
20000420 00:00,903800,909700,861900,873100,21119200
20000424 00:00,834400,850000,798800,843800,30763800
20000425 00:00,865000,902500,860000,901900,28058500
20000426 00:00,906300,924200,872500,872500,25610400
20000427 00:00,835000,975000,822500,922500,36393500
20000428 00:00,935600,947500,828900,942500,23397200
20000501 00:00,957500,968800,942500,957500,23529300
20000502 00:00,948800,956300,905000,905000,19892700
20000503 00:00,895000,902500,855200,889400,26339900
20000504 00:00,890000,907500,873800,891300,16999400
20000505 00:00,881300,923100,880300,920000,20170400
20000508 00:00,905000,907500,880600,880600,13131400
20000509 00:00,885000,891300,843100,861600,19798000
20000510 00:00,843800,923000,807500,809800,33201800
20000511 00:00,827500,845000,808800,845000,24141600
20000512 00:00,853800,875600,840000,848100,17512200
20000515 00:00,848100,879400,826300,879400,18046800
20000516 00:00,900000,915000,880600,911300,23360000
20000517 00:00,892500,905000,877500,887500,19724600
20000518 00:00,890000,898800,855600,856300,18813400
20000519 00:00,837500,850000,813100,815900,27104000
20000522 00:00,816300,818800,755800,816300,44383800
20000523 00:00,813800,857800,753100,757500,30734700
20000524 00:00,750000,800000,722500,794400,49939800
20000525 00:00,802500,822500,765000,775600,29384200
20000526 00:00,777500,792500,722700,775200,17858000
20000530 00:00,800000,852500,790000,850000,31747000
20000531 00:00,844700,866700,827500,827500,29489300
20000601 00:00,851900,883800,831900,876300,28593900
20000602 00:00,926300,1083100,825000,933800,31332700
20000605 00:00,922500,953100,918800,930600,23338800
20000606 00:00,931900,950000,910000,911300,22103400
20000607 00:00,915600,931300,895600,929400,22159300
20000608 00:00,946300,948800,916300,927500,19062800
20000609 00:00,947500,949200,925600,936900,16509900
20000612 00:00,943100,943100,908800,909800,15911800
20000613 00:00,905000,938800,893600,938800,24877300
20000614 00:00,948800,948800,913800,917500,19879200
20000615 00:00,918800,938100,817700,935600,18513300
20000616 00:00,947500,959400,930600,946300,21969800
20000619 00:00,940200,989400,926900,981300,19736000
20000620 00:00,982500,996900,971900,982500,20659300
20000621 00:00,968100,997200,966900,989400,20680400
20000622 00:00,986300,996300,950000,952500,21247800
20000623 00:00,950000,955000,914400,918100,24185800
20000626 00:00,930600,944200,920000,939400,22647600
20000627 00:00,937700,950600,921300,926600,14657300
20000628 00:00,929800,955000,925000,941300,18793000
20000629 00:00,929400,933800,906300,916300,21115000
20000630 00:00,918100,939500,913100,937500,14225300
20000703 00:00,935000,952500,932500,952500,5219200
20000705 00:00,936300,939700,908800,912500,15877900
20000706 00:00,915600,947500,900600,945000,22878900
20000707 00:00,950000,979700,930000,958800,16126000
20000710 00:00,946900,958800,921300,941900,12520300
20000711 00:00,940600,957500,928100,935000,14307200
20000712 00:00,954400,978800,942500,971400,17877700
20000713 00:00,979400,999700,943100,987500,19184000
20000714 00:00,1002500,1015600,988100,1008600,16775700
20000717 00:00,1009400,1020600,916100,1015200,12798100
20000718 00:00,1003800,1009700,983600,990000,20309800
20000719 00:00,983100,989400,878300,960600,21249600
20000720 00:00,978800,998800,873900,995000,19233600
20000721 00:00,984400,995200,971400,976900,13855200
20000724 00:00,979400,990000,943100,946300,18282200
